"","seqnames","start","end","width","strand","location","location.1","name","score","a_counts","a_total","b_counts","b_total","a_mod_percentages","b_mod_percentages","a_pct_modified","b_pct_modified","map_pvalue","effect_size","balanced_map_pvalue","balanced_effect_size","pct_a_samples","pct_b_samples","replicate_map_pvalues","replicate_effect_sizes","gene_id","gene_id_strand","gene_description"
"71","chr8",86609166,86609167,2,"*","chr8:86609166-86609167","chr8:86609166-86609167",".",2.84968302407407,"a:8",114,"a:18",98,"a:7.02","a:18.37",0.07017544,0.18367347,0.0710091061109974,-0.112244897959184,0.0150801024388592,-0.113095238095238,75,75,"0.11201350015955487,1,0.09506006232039269","-0.18575851393188855,-0.018518518518518517,-0.17857142857142858",NA,NA,NA
"72","chr9",45154691,45154692,2,"*","chr9:45154691-45154692","chr9:45154691-45154692",".",7.83366455396219,"h:3,m:125",172,"h:13,m:101",190,"h:1.74,m:72.67","h:6.84,m:53.16",0.74418604,0.6,0.0163422739048769,0.144186046511628,0.0039843547735067,0.162175464501046,100,75,"-","-",NA,NA,NA
"73","chr9",67516749,67516750,2,"*","chr9:67516749-67516750","chr9:67516749-67516750",".",2.84558587078317,"a:9",66,"a:3",97,"a:13.64","a:3.09",0.13636364,0.030927835,0.027410961438579,0.10543580131209,0.03302168618154,0.110795454545455,75,100,"-","-",NA,NA,NA
"74","chr9",125243014,125243015,2,"*","chr9:125243014-125243015","chr9:125243014-125243015",".",2.81558282553374,"h:1,m:142",154,"h:1,m:93",114,"h:0.65,m:92.21","h:0.88,m:81.58",0.9285714,0.8245614,1,0.104010025062657,0.0379692260516782,0.108015135878913,75,75,"1,1,0.020505730534036596","-0.007542426147077341,0.0635551142005959,0.2895622895622896",NA,NA,NA
"75","chr9",125245581,125245582,2,"*","chr9:125245581-125245582","chr9:125245581-125245582",".",3.99262247220076,"h:0,m:61",208,"h:0,m:40",234,"h:0.00,m:29.33","h:0.00,m:17.09",0.29326922,0.17094018,0.0028398560285894,0.12232905982906,0.008091806652809,0.114555702917772,100,100,"1,0.2608905938175688,0.09931292836928307,0.7533598882198445","0.027777777777777762,0.14523809523809522,0.20649509803921567,0.11094452773613195",NA,NA,NA
"76","chr11",52353857,52353858,2,"*","chr11:52353857-52353858","chr11:52353857-52353858",".",4.62115950817696,"a:2",84,"a:15",100,"a:2.38","a:15.00",0.023809524,0.15,0.004508743392828,-0.126190476190476,0.0195981865543335,-0.109307359307359,75,75,"0.09443349482489356,0.16322607841702402,1","-0.17142857142857143,-0.1194496560350219,-0.08333333333333333",NA,NA,NA
"77","chr11",53845979,53845980,2,"*","chr11:53845979-53845980","chr11:53845979-53845980",".",2.16904221691351,"h:1,m:53",96,"h:4,m:99",146,"h:1.04,m:55.21","h:2.74,m:67.81",0.5625,0.70547944,0.0995079400590531,-0.1475,0.0158902250239289,-0.199583333333333,75,75,"0.6064309248108538,1,0.005701253248959407","-0.11698113207547167,-0.022549019607843168,-0.43787878787878787",NA,NA,NA
"78","chr11",53894964,53894965,2,"*","chr11:53894964-53894965","chr11:53894964-53894965",".",1.75418995613143,"h:3,m:74",91,"h:2,m:92",129,"h:3.30,m:81.32","h:1.55,m:71.32",0.84615386,0.72868216,0.143448178947289,0.116153846153846,0.0274054247711053,0.164444444444444,75,75,"1,1,0.01707452876229677","0.015151515151515138,0.07540126913027245,0.3642857142857143",NA,NA,NA
"79","chr12",35171046,35171047,2,"*","chr12:35171046-35171047","chr12:35171046-35171047",".",3.3899835009247,"h:2,m:55",92,"h:2,m:67",159,"h:2.17,m:59.78","h:1.26,m:42.14",0.6195652,0.43396226,0.0342345933461568,0.186872909698997,0.0077724179133293,0.219871794871795,75,75,"0.6837981063654415,0.511686566910539,0.003866087774213418","0.11111111111111116,0.1226309921962096,0.42857142857142855",NA,NA,NA
"80","chr15",17407934,17407935,2,"*","chr15:17407934-17407935","chr15:17407934-17407935",".",1.96328117797384,"h:1,m:43",137,"h:4,m:73",175,"h:0.73,m:31.39","h:2.29,m:41.71",0.3211679,0.44,0.0558557892729682,-0.118832116788321,0.001330320066044,-0.188387423935091,100,75,"-","-",NA,NA,NA
"81","chr15",17444925,17444926,2,"*","chr15:17444925-17444926","chr15:17444925-17444926",".",2.09061177352532,"h:0,m:56",172,"h:1,m:94",220,"h:0.00,m:32.56","h:0.45,m:42.73",0.3255814,0.4318182,0.145858667213644,-0.108092074038918,0.0394568800071443,-0.119719981015662,100,100,"1,1,0.6453413871590844,0.10362034906242328","-0.02276029055690071,-0.07030303030303031,-0.12049689440993788,-0.2377777777777778",NA,NA,NA
"82","chr15",17467783,17467784,2,"*","chr15:17467783-17467784","chr15:17467783-17467784",".",1.19212804339878,"a:65",141,"a:69",189,"a:46.10","a:36.51",0.4609929,0.36507937,1,0.0959135427220533,0.0495123343024313,0.11322188449848,100,100,"0.08560337256600492,1,0.6070658574508796,1","0.2538461538461538,0.021678321678321677,0.1289855072463768,0.04999999999999999",NA,NA,NA
"83","chr15",80316623,80316624,2,"*","chr15:80316623-80316624","chr15:80316623-80316624",".",3.28416458540676,"h:1,m:62",85,"h:3,m:68",79,"h:1.18,m:72.94","h:3.80,m:86.08",0.7411765,0.89873415,0.0289150616136183,-0.157557706626955,0.0288377303137779,-0.159340659340659,75,75,"0.17531329529229708,0.32124236117637034,0.38738124429188586","-0.18114143920595538,-0.16666666666666674,-0.12318840579710144",NA,NA,NA
"84","chr16",33090013,33090014,2,"*","chr16:33090013-33090014","chr16:33090013-33090014",".",5.63804191507785,"a:5",81,"a:23",93,"a:6.17","a:24.73",0.061728396,0.24731183,0.0055324879752724,-0.185583432895261,0.0023045562579483,-0.187176423735564,75,75,"0.04816500808645891,0.4824404929143586,0.06721413488404472","-0.23106060606060605,-0.10585585585585587,-0.2567287784679089","TP53TG3","-","TP53 target 3"
"85","chr16",36551314,36551315,2,"*","chr16:36551314-36551315","chr16:36551314-36551315",".",2.79433001675079,"h:0,m:42",136,"h:1,m:23",126,"h:0.00,m:30.88","h:0.79,m:18.25",0.30882353,0.1904762,0.0530896262960814,0.115079365079365,0.0314995405027577,0.130952380952381,100,75,"-","-",NA,NA,NA
"86","chr16",36558379,36558380,2,"*","chr16:36558379-36558380","chr16:36558379-36558380",".",2.59224474833806,"h:0,m:16",85,"h:0,m:40",114,"h:0.00,m:18.82","h:0.00,m:35.09",0.1882353,0.3508772,0.113250064583135,-0.162641898864809,0.0410125305761365,-0.157894736842105,75,75,"0.40515613752735846,0.29533279042093197,0.3322595715988684","-0.16585365853658535,-0.16136363636363635,-0.15586206896551724",NA,NA,NA
"87","chr16",36572759,36572760,2,"*","chr16:36572759-36572760","chr16:36572759-36572760",".",3.11961854217543,"h:0,m:62",93,"h:2,m:56",112,"h:0.00,m:66.67","h:1.79,m:50.00",0.6666667,0.51785713,0.0854782940984001,0.148809523809524,0.0397211325126119,0.171171171171171,75,75,"0.3544342195915771,1,0.03828828080455255","0.18000000000000005,0.0026315789473684292,0.30000000000000004",NA,NA,NA
"88","chr16",50479173,50479174,2,"*","chr16:50479173-50479174","chr16:50479173-50479174",".",2.98571053015598,"a:20",111,"a:8",116,"a:18.02","a:6.90",0.18018018,0.06896552,0.0466395239077076,0.106960408684547,0.0092670672259445,0.114942528735632,100,100,"1,0.22868353237737188,1,0.12967332460111275","0.023076923076923078,0.11515151515151516,0.09523809523809523,0.18910256410256412",NA,NA,NA
"89","chr17",22052969,22052970,2,"*","chr17:22052969-22052970","chr17:22052969-22052970",".",5.01991889690629,"a:5",102,"a:20",103,"a:4.90","a:19.42",0.04901961,0.19417475,0.004117126020396,-0.145155149438416,0.0024362546027412,-0.137254901960784,75,75,"0.3155853874526014,0.024367526754006982,0.3477501036496966","-0.10691244239631337,-0.17739130434782607,-0.1341991341991342",NA,NA,NA
"90","chr17",23514400,23514401,2,"*","chr17:23514400-23514401","chr17:23514400-23514401",".",2.33787439135864,"a:16",110,"a:8",138,"a:14.55","a:5.80",0.14545454,0.057971016,1,0.0904558404558404,0.0115930570713253,0.109330484330484,75,75,"1,1,0.06502441461832323","0.09999999999999999,0.040175953079178886,0.18201754385964913",NA,NA,NA
"91","chr17",26840004,26840005,2,"*","chr17:26840004-26840005","chr17:26840004-26840005",".",8.97101613791665,"h:0,m:124",178,"h:2,m:117",238,"h:0.00,m:69.66","h:0.84,m:49.16",0.6966292,0.5,0.01675237887129,0.194444444444444,0.0067683050248642,0.213675213675214,100,75,"-","-",NA,NA,NA
"92","chr17",26858395,26858396,2,"*","chr17:26858395-26858396","chr17:26858395-26858396",".",3.53904897349102,"h:0,m:38",67,"h:1,m:30",87,"h:0.00,m:56.72","h:1.15,m:34.48",0.5671642,0.35632184,0.0339034355098672,0.210842340024018,0.0396378836239905,0.204284221525601,75,75,"0.41023353346257796,0.13330114343369212,0.5503905390260961","0.1928571428571429,0.25274725274725274,0.16071428571428575",NA,NA,NA
"93","chr17",44124072,44124073,2,"*","chr17:44124072-44124073","chr17:44124072-44124073",".",1.51706459646226,"h:3,m:126",140,"h:3,m:68",85,"h:2.14,m:90.00","h:3.53,m:80.00",0.92142856,0.8352941,1,0.090631808278867,0.0459501897052943,0.111111111111111,75,75,"1,1,0.006881720783861232","0.06089193825042882,-0.06999485331960886,0.2941176470588235",NA,NA,NA
"94","chr17",44143209,44143210,2,"*","chr17:44143209-44143210","chr17:44143209-44143210",".",5.29458275359866,"a:3",102,"a:18",114,"a:2.94","a:15.79",0.029411765,0.15789473,0.0028404074555256,-0.124434389140271,0.0069998655224969,-0.114630467571644,75,75,"0.04548447921772561,0.06720242512797756,1","-0.15789473684210525,-0.1388888888888889,-0.038636363636363635",NA,NA,NA
"95","chr17",44145924,44145925,2,"*","chr17:44145924-44145925","chr17:44145924-44145925",".",5.0967802984963,"h:0,m:120",122,"h:0,m:101",115,"h:0.00,m:98.36","h:0.00,m:87.83",0.9836066,0.87826085,0.0068456168995789,0.106481481481481,0.0068456168995789,0.106481481481481,75,75,"1,0.0008018202331941793,1","0.05682605682605679,0.20512820512820518,0.05128205128205132",NA,NA,NA
"96","chr17",44145943,44145944,2,"*","chr17:44145943-44145944","chr17:44145943-44145944",".",1.91894636826419,"h:1,m:41",129,"h:0,m:55",125,"h:0.78,m:31.78","h:0.00,m:44.00",0.3255814,0.44,0.127238698111379,-0.118233618233618,0.0464881210956266,-0.155626780626781,75,75,"0.884024306158788,1,0.02191117837539539","-0.10961538461538461,0.048913043478260865,-0.345",NA,NA,NA
"97","chr17",44156703,44156704,2,"*","chr17:44156703-44156704","chr17:44156703-44156704",".",2.53840207496151,"h:0,m:18",132,"h:0,m:24",87,"h:0.00,m:13.64","h:0.00,m:27.59",0.13636364,0.27586207,0.0337685530437628,-0.136973180076628,0.0138329717669143,-0.155491698595147,100,75,"-","-",NA,NA,NA
"98","chr17",65763206,65763207,2,"*","chr17:65763206-65763207","chr17:65763206-65763207",".",3.89290808849836,"h:1,m:18",101,"h:1,m:34",92,"h:0.99,m:17.82","h:1.09,m:36.96",0.18811882,0.38043478,0.014151304505858,-0.192315970727508,0.0179903593739056,-0.194949494949495,75,75,"0.07822154435703224,1,0.004466535712414985","-0.2536764705882353,0.025974025974025955,-0.4088888888888889","LRRC37A3","-","leucine rich repeat containing 37 member A3"
"99","chr17",65766523,65766524,2,"*","chr17:65766523-65766524","chr17:65766523-65766524",".",3.59475957832592,"a:6",105,"a:19",106,"a:5.71","a:17.92",0.057142857,0.17924528,0.0147043464032795,-0.12554945054945,0.0092804825453209,-0.115842490842491,75,100,"-","-","LRRC37A3","-","leucine rich repeat containing 37 member A3"
"100","chr18",15937077,15937078,2,"*","chr18:15937077-15937078","chr18:15937077-15937078",".",1.39407088205712,"h:2,m:59",137,"h:2,m:38",123,"h:1.46,m:43.07","h:1.63,m:30.89",0.4452555,0.32520324,0.139021315842022,0.11474358974359,0.0423910409144897,0.144871794871795,100,75,"-","-",NA,NA,NA
"101","chr18",16350561,16350562,2,"*","chr18:16350561-16350562","chr18:16350561-16350562",".",5.13795234398367,"h:0,m:54",130,"h:1,m:74",121,"h:0.00,m:41.54","h:0.83,m:61.16",0.41538462,0.6198347,0.0121077077525082,-0.198717948717949,0.0098467398197737,-0.2,100,75,"-","-",NA,NA,NA
"102","chr18",16455498,16455499,2,"*","chr18:16455498-16455499","chr18:16455498-16455499",".",3.19302623891269,"h:1,m:72",127,"h:1,m:54",136,"h:0.79,m:56.69","h:0.74,m:39.71",0.5748032,0.40441176,0.0334503127119592,0.171153846153846,0.0178032450657184,0.196153846153846,100,75,"-","-",NA,NA,NA
"103","chr18",16833313,16833314,2,"*","chr18:16833313-16833314","chr18:16833313-16833314",".",2.00819337711067,"a:19",119,"a:14",179,"a:15.97","a:7.82",0.15966387,0.07821229,1,0.0827407886231415,0.0402963274227832,0.112179487179487,75,75,"1,1,0.005086631319935409","0.04393939393939393,0.032706766917293226,0.2810920121334682",NA,NA,NA
"104","chr18",16903869,16903870,2,"*","chr18:16903869-16903870","chr18:16903869-16903870",".",3.10406189131174,"h:1,m:94",121,"h:0,m:114",127,"h:0.83,m:77.69","h:0.00,m:89.76",0.78512394,0.8976378,0.0759631076692173,-0.110897435897436,0.0218534039851262,-0.142948717948718,100,75,"-","-",NA,NA,NA
"105","chr18",19564528,19564529,2,"*","chr18:19564528-19564529","chr18:19564528-19564529",".",3.83964978857841,"h:1,m:60",101,"h:2,m:51",129,"h:0.99,m:59.41","h:1.55,m:39.53",0.6039604,0.4108527,0.0301442117296738,0.190498857578066,0.0414305836480359,0.182012432012432,75,75,"0.019498294742461435,0.2873445260950558,1","0.2745098039215686,0.1931623931623932,0.06818181818181823",NA,NA,NA
"106","chr18",19564537,19564538,2,"*","chr18:19564537-19564538","chr18:19564537-19564538",".",3.31688630562667,"h:1,m:73",122,"h:1,m:53",126,"h:0.82,m:59.84","h:0.79,m:42.06",0.60655737,0.42857143,0.0454453119479745,0.175641025641025,0.0498291611532683,0.16025641025641,100,75,"-","-",NA,NA,NA
"107","chr18",19636123,19636124,2,"*","chr18:19636123-19636124","chr18:19636123-19636124",".",1.18267085648159,"h:0,m:23",120,"h:0,m:58",202,"h:0.00,m:19.17","h:0.00,m:28.71",0.19166666,0.28712872,1,-0.0967948717948717,0.0457153343992744,-0.120512820512821,100,100,"1,0.462336891299993,0.41191354244470274,0.42029179785614035","0.005270092226613954,-0.1388888888888889,-0.14956521739130438,-0.13205128205128205",NA,NA,NA
"108","chr19",28482439,28482440,2,"*","chr19:28482439-28482440","chr19:28482439-28482440",".",4.12470906341952,"h:3,m:109",135,"h:7,m:151",229,"h:2.22,m:80.74","h:3.06,m:65.94",0.8296296,0.6899563,0.0259134564265364,0.14023569023569,0.0194094655629936,0.147979797979798,75,100,"-","-",NA,NA,NA
"109","chr19",28657854,28657855,2,"*","chr19:28657854-28657855","chr19:28657854-28657855",".",3.15663015560034,"h:0,m:36",82,"h:2,m:64",107,"h:0.00,m:43.90","h:1.87,m:59.81",0.4390244,0.6168224,0.0612620462424131,-0.177798039662639,0.0250325143106532,-0.199294532627866,75,75,"0.6746061343478631,0.31495988846825324,0.19941409833271315","-0.11538461538461542,-0.16756756756756752,-0.2608695652173913",NA,NA,NA
"110","chr19",29448619,29448620,2,"*","chr19:29448619-29448620","chr19:29448619-29448620",".",2.3802249082469,"h:1,m:14",78,"h:0,m:7",94,"h:1.28,m:17.95","h:0.00,m:7.45",0.1923077,0.07446808,0.146803803715843,0.117839607201309,0.0304124905648925,0.112903225806452,75,75,"0.18243529611014572,1,1","0.17809523809523808,0.06944444444444445,0.09285714285714285",NA,NA,NA
"111","chr19",29448960,29448961,2,"*","chr19:29448960-29448961","chr19:29448960-29448961",".",4.81089504435903,"a:2",93,"a:17",125,"a:2.15","a:13.60",0.021505376,0.136,0.0048764159165894,-0.114494623655914,0.0092327150838027,-0.111198531340152,75,75,"0.21956957249653009,0.09059599642036606,1","-0.10746513535684987,-0.11239316239316238,-0.1",NA,NA,NA
"112","chr19",38841442,38841443,2,"*","chr19:38841442-38841443","chr19:38841442-38841443",".",2.73271235689754,"a:30",119,"a:20",150,"a:25.21","a:13.33",0.25210086,0.13333334,0.121343439554039,0.115737203972498,0.0110057629419434,0.143745143745144,75,100,"-","-",NA,NA,NA
"113","chr19",38842299,38842300,2,"*","chr19:38842299-38842300","chr19:38842299-38842300",".",3.59939283240112,"h:4,m:125",146,"h:9,m:125",173,"h:2.74,m:85.62","h:5.20,m:72.25",0.8835617,0.7745665,0.0447469103594954,0.112987012987013,0.0483488297632747,0.113419913419913,75,100,"-","-",NA,NA,NA
"114","chr19",38919597,38919598,2,"*","chr19:38919597-38919598","chr19:38919597-38919598",".",2.434270776223,"h:1,m:29",164,"h:2,m:45",156,"h:0.61,m:17.68","h:1.28,m:28.85",0.18292683,0.30128205,0.0308664108615219,-0.117316017316017,0.0056751275986141,-0.144588744588744,75,100,"-","-",NA,NA,NA
"115","chr19",38924506,38924507,2,"*","chr19:38924506-38924507","chr19:38924506-38924507",".",3.09437755196893,"h:2,m:39",133,"h:0,m:49",112,"h:1.50,m:29.32","h:0.00,m:43.75",0.30827066,0.4375,0.0602417084819773,-0.129229323308271,0.0182614626675491,-0.15970515970516,75,75,"0.28204633319633826,0.4900061884493738,0.5910485877050023","-0.18050065876152832,-0.10666666666666669,-0.1412151067323481",NA,NA,NA
"116","chr19",40047079,40047080,2,"*","chr19:40047079-40047080","chr19:40047079-40047080",".",0.228352898188177,"a:62",259,"a:58",288,"a:23.94","a:20.14",0.23938224,0.2013889,1,0.0383116883116883,0.0285112407892666,0.118181818181818,100,100,"1,1,0.10473970644948521,0.05434584202221361","0.05400724295386555,-0.08252774794128176,0.16248955722639935,0.2962962962962963",NA,NA,NA
"117","chr19",43870329,43870330,2,"*","chr19:43870329-43870330","chr19:43870329-43870330",".",5.57619773870854,"a:2",90,"a:12",69,"a:2.22","a:17.39",0.022222223,0.17391305,0.001888812850433,-0.151690821256039,0.0016880097276939,-0.148309178743961,75,75,"1,1,0.004521895699873187","-0.05,-0.08880308880308879,-0.3333333333333333",NA,NA,NA
"118","chr19",46147294,46147295,2,"*","chr19:46147294-46147295","chr19:46147294-46147295",".",3.42746047965537,"a:5",106,"a:14",84,"a:4.72","a:16.67",0.047169812,0.16666667,0.0118713622544674,-0.119496855345912,0.0088135273783845,-0.116666666666667,75,75,"0.2099876401702543,1,0.4300639842265718","-0.15546218487394958,-0.07727272727272727,-0.1208791208791209",NA,NA,NA
"119","chr19",46339168,46339169,2,"*","chr19:46339168-46339169","chr19:46339168-46339169",".",4.41903973611909,"h:0,m:79",86,"h:2,m:49",66,"h:0.00,m:91.86","h:3.03,m:74.24",0.9186047,0.77272725,0.042300545461006,0.145877378435518,0.0070675204295995,0.186147186147186,75,75,"0.19073226506327978,0.47159579624277165,0.38337468888073867","0.18103448275862066,0.12998712998713002,0.14047619047619042","ETHE1","-","ETHE1 persulfide dioxygenase"
"120","chr19",50865779,50865780,2,"*","chr19:50865779-50865780","chr19:50865779-50865780",".",2.9665396466105,"h:0,m:72",164,"h:0,m:76",127,"h:0.00,m:43.90","h:0.00,m:59.84",0.4390244,0.5984252,0.0412506491029891,-0.162710911136108,0.0421202104943241,-0.161059907834101,100,100,"1,0.043106537724440216,0.6007920139171148,0.36655466056165553","-0.03575989782886341,-0.25,-0.13636363636363635,-0.1858974358974359",NA,NA,NA
"121","chr19",50866477,50866478,2,"*","chr19:50866477-50866478","chr19:50866477-50866478",".",3.02559034409978,"h:3,m:131",170,"h:5,m:79",126,"h:1.76,m:77.06","h:3.97,m:62.70",0.7882353,0.6666667,0.0876276228878685,0.119047619047619,0.0287819932962849,0.147695852534562,100,100,"1,0.28024734054000433,0.6663852404589573,0.019240199435137995","-0.050793650793650835,0.14402810304449642,0.12,0.36309523809523814",NA,NA,NA
"122","chr19",50871868,50871869,2,"*","chr19:50871868-50871869","chr19:50871868-50871869",".",9.37553977987659,"h:0,m:49",108,"h:3,m:73",104,"h:0.00,m:45.37","h:2.88,m:70.19",0.4537037,0.7307692,0.0001933101319342,-0.277065527065527,0.0003101472520183,-0.27124183006536,75,75,"0.11332738136067776,0.021833659117204224,0.09012869989259353","-0.23717948717948723,-0.2984473835537666,-0.28831168831168835",NA,NA,NA
"123","chr19",50931903,50931904,2,"*","chr19:50931903-50931904","chr19:50931903-50931904",".",2.66238888069179,"h:2,m:81",95,"h:1,m:55",78,"h:2.11,m:85.26","h:1.28,m:70.51",0.8736842,0.71794873,0.0377722336416008,0.155735492577598,0.029409107557823,0.167907361455748,75,75,"1,0.022145506218687227,0.2753885308818961","-0.002564102564102555,0.23040752351097182,0.20496894409937882","SNAR-C3_6","+","small NF90 (ILF3) associated RNA C3"
"124","chr19",53097432,53097433,2,"*","chr19:53097432-53097433","chr19:53097432-53097433",".",2.63296417315036,"h:1,m:14",101,"h:1,m:30",106,"h:0.99,m:13.86","h:0.94,m:28.30",0.14851485,0.29245284,0.0207388420631633,-0.143937978703531,0.0315701247090221,-0.134199134199134,75,75,"0.016605542797108012,1,1","-0.24436090225563908,-0.05580693815987933,-0.0735294117647059",NA,NA,NA
"125","chr19",53152144,53152145,2,"*","chr19:53152144-53152145","chr19:53152144-53152145",".",4.62859504785729,"h:0,m:103",273,"h:0,m:123",236,"h:0.00,m:37.73","h:0.00,m:52.12",0.37728938,0.5211864,0.128884165433524,-0.144155844155844,0.039267450923024,-0.158441558441558,100,100,"0.08058055617905781,1,0.11924734407871529,0.17242404916205414","-0.1718875502008032,-0.023809523809523836,-0.1905366783105748,-0.23055028462998106",NA,NA,NA
"126","chr19",53205687,53205688,2,"*","chr19:53205687-53205688","chr19:53205687-53205688",".",2.63691230660714,"h:2,m:66",150,"h:1,m:94",161,"h:1.33,m:44.00","h:0.62,m:58.39",0.45333335,0.59006214,0.0448564555186545,-0.140909090909091,0.0178801479189562,-0.176190476190476,100,100,"0.24565607426372008,1,0.4094653212405149,0.1172916874275042","-0.17324263038548754,-0.04244031830238726,-0.17690417690417692,-0.29629629629629634",NA,NA,NA
"127","chr19",53206290,53206291,2,"*","chr19:53206290-53206291","chr19:53206290-53206291",".",4.00919131663937,"a:13",96,"a:4",129,"a:13.54","a:3.10",0.13541667,0.031007752,1,0.104408914728682,0.0008151287321438,0.130208333333333,75,100,"-","-",NA,NA,NA
"128","chr19",56528625,56528626,2,"*","chr19:56528625-56528626","chr19:56528625-56528626",".",2.39205877282583,"a:5",75,"a:13",66,"a:6.67","a:19.70",0.06666667,0.1969697,0.101589526654368,-0.13030303030303,0.0402480258252669,-0.128484848484848,75,75,"0.015021943778553974,1,1","-0.2916666666666667,-0.0051948051948051965,-0.1","ZNF765-ZNF761","+","ZNF765-ZNF761 readthrough"
"129","chr19",56539377,56539378,2,"*","chr19:56539377-56539378","chr19:56539377-56539378",".",3.91249431525694,"h:1,m:104",114,"h:0,m:62",80,"h:0.88,m:91.23","h:0.00,m:77.50",0.92105263,0.775,0.0170459433147367,0.146052631578947,0.0435436030939049,0.126180836707152,75,75,"0.09704688312688453,0.1532421578913376,1","0.21616541353383456,0.1530791788856305,0.04761904761904756",NA,NA,NA
"130","chr19",56567743,56567744,2,"*","chr19:56567743-56567744","chr19:56567743-56567744",".",5.45330955591078,"h:2,m:81",94,"h:0,m:78",110,"h:2.13,m:86.17","h:0.00,m:70.91",0.88297874,0.7090909,0.0079377509130345,0.173887814313346,0.0140598696062684,0.16726403823178,75,100,"-","-","ZNF813","+","zinc finger protein 813"
"131","chr20",13794894,13794895,2,"*","chr20:13794894-13794895","chr20:13794894-13794895",".",1.99050269650797,"h:4,m:71",77,"h:3,m:64",76,"h:5.19,m:92.21","h:3.95,m:84.21",0.97402596,0.8815789,1,0.092447026657553,0.0418889736585784,0.12,75,75,"0.08814283560631218,1,1","0.17391304347826086,0.04466230936819171,0.06538461538461537","ESF1","-","ESF1 nucleolar pre-rRNA processing protein homolog"
"132","chr20",13976490,13976491,2,"*","chr20:13976490-13976491","chr20:13976490-13976491",".",2.02669746204683,"h:1,m:2",64,"h:1,m:10",72,"h:1.56,m:3.12","h:1.39,m:13.89",0.046875,0.15277778,0.0546011685933594,-0.105902777777778,0.0255662583401016,-0.125,75,75,"0.15170259878608944,0.2825092702725913,1","-0.17391304347826086,-0.13311688311688313,-0.004329004329004321","SEL1L2","-","SEL1L2 adaptor subunit of SYVN1 ubiquitin ligase"
"133","chr20",27476799,27476800,2,"*","chr20:27476799-27476800","chr20:27476799-27476800",".",2.61308156638103,"h:1,m:56",83,"h:2,m:53",108,"h:1.20,m:67.47","h:1.85,m:49.07",0.686747,0.5092593,0.0519991857727445,0.176746987951807,0.0478129146139959,0.181358024691358,75,75,"0.2932132155744613,0.4527404481745325,0.2903068242969992","0.2142857142857143,0.13142554319024907,0.20444444444444443",NA,NA,NA
"134","chr20",27709638,27709639,2,"*","chr20:27709638-27709639","chr20:27709638-27709639",".",3.09950386318872,"h:0,m:61",98,"h:0,m:59",134,"h:0.00,m:62.24","h:0.00,m:44.03",0.622449,0.4402985,0.0383492775758804,0.182448979591837,0.0218638017835522,0.195,75,75,"0.057528124893048316,1,0.09163020738140663","0.23520309477756285,0.04598662207357851,0.29999999999999993",NA,NA,NA
"135","chr20",27827211,27827212,2,"*","chr20:27827211-27827212","chr20:27827211-27827212",".",4.20148461059895,"h:0,m:10",83,"h:1,m:33",114,"h:0.00,m:12.05","h:0.88,m:28.95",0.12048193,0.2982456,0.0067698284040747,-0.179518072289157,0.0062962622856387,-0.178888888888889,75,75,"0.37800348409848755,0.07976581158059501,0.2227497781249822","-0.14729729729729732,-0.18000000000000002,-0.20289855072463767",NA,NA,NA
"136","chr20",27852135,27852136,2,"*","chr20:27852135-27852136","chr20:27852135-27852136",".",3.3542867448686,"h:1,m:30",109,"h:0,m:66",154,"h:0.92,m:27.52","h:0.00,m:42.86",0.28440368,0.42857143,0.0502166356655478,-0.145596330275229,0.0134052344230983,-0.179259259259259,75,75,"1,0.15161721927945904,0.11390108460188905","-0.05384615384615388,-0.1884346959122632,-0.2492753623188406",NA,NA,NA
"137","chr20",27854854,27854855,2,"*","chr20:27854854-27854855","chr20:27854854-27854855",".",3.44448005159211,"h:0,m:28",99,"h:0,m:66",142,"h:0.00,m:28.28","h:0.00,m:46.48",0.28282827,0.46478873,0.0416068725487993,-0.177171717171717,0.0198403799828477,-0.197373737373737,75,75,"0.27797941125257,0.4647178958411622,0.10326740229243767","-0.1465378421900161,-0.14516129032258063,-0.2727272727272727",NA,NA,NA
"138","chr20",28397175,28397176,2,"*","chr20:28397175-28397176","chr20:28397175-28397176",".",5.49957367536672,"h:2,m:46",123,"h:1,m:101",175,"h:1.63,m:37.40","h:0.57,m:57.71",0.3902439,0.58285713,0.0285462491169622,-0.187142857142857,0.013388791908802,-0.203928571428571,75,75,"0.00402469325548259,0.11120591137065677,1","-0.3843896713615023,-0.18521247850650951,0.0071428571428572285",NA,NA,NA
"139","chr20",29509043,29509044,2,"*","chr20:29509043-29509044","chr20:29509043-29509044",".",3.40198475619582,"a:38",126,"a:21",132,"a:30.16","a:15.91",0.3015873,0.1590909,0.0248781484445332,0.143571428571428,0.01931837430784,0.144642857142857,100,75,"-","-",NA,NA,NA
"140","chr20",31629306,31629307,2,"*","chr20:31629306-31629307","chr20:31629306-31629307",".",1.32826581397273,"h:0,m:47",121,"h:0,m:41",150,"h:0.00,m:38.84","h:0.00,m:27.33",0.38842976,0.27333334,0.517189763716169,0.122857142857143,0.0434716352830442,0.149642857142857,100,100,"1,1,0.7062429232229259,0.002721039344653069","0.095,-0.03562152133580704,0.11538461538461536,0.44761904761904764",NA,NA,NA
